filename,trial1,trial2,trial3,trial4
410.sql,1.095,1.094,1.093,1.093
411.sql,2.845,2.844,2.844,2.840
412.sql,0.140,0.118,0.109,0.107
413.sql,0.103,0.108,0.108,0.108
414.sql,0.450,0.440,0.442,0.463
415.sql,2.507,2.496,2.552,2.487
416.sql,158.991,153.458,172.732,189.501
417.sql,0.697,0.803,0.790,0.756
418.sql,56.501,57.809,57.016,63.949
419.sql,0.736,0.808,0.675,0.670
420.sql,18.530,18.038,19.094,18.059
421.sql,0.868,0.853,0.818,0.839
422.sql,0.719,0.518,0.577,0.559
423.sql,48.409,44.963,45.052,45.983
424.sql,0.129,0.132,0.150,0.133
425.sql,0.129,0.128,0.129,0.126
426.sql,0.077,0.077,0.078,0.078
427.sql,0.133,0.129,0.126,0.129
428.sql,0.163,0.164,0.162,0.164
430.sql,0.110,0.104,0.096,0.103
431.sql,0.173,0.148,0.147,0.129
433.sql,0.289,0.227,0.308,0.331
434.sql,0.147,0.136,0.149,0.145
435.sql,0.556,0.532,0.580,0.521
436.sql,0.111,0.121,0.135,0.150
437.sql,0.345,0.343,0.290,0.281
438.sql,0.435,0.534,0.461,0.433
439.sql,2.911,2.802,2.778,2.756
441.sql,0.144,0.128,0.149,0.146
442.sql,0.352,0.352,0.386,0.390
443.sql,0.319,0.359,0.352,0.312
444.sql,1.133,0.920,1.119,1.011
445.sql,0.063,0.060,0.065,0.061
446.sql,0.703,0.469,0.411,0.582
447.sql,2.205,2.001,2.218,2.153
448.sql,0.765,0.824,0.870,0.962
449.sql,0.133,0.136,0.177,0.139
450.sql,0.298,0.238,0.266,0.290
451.sql,0.094,0.093,0.092,0.095
452.sql,0.830,0.784,0.761,0.720
453.sql,4.589,4.459,5.163,5.327
455.sql,0.733,0.556,0.605,0.573
456.sql,0.244,0.263,0.213,0.243
457.sql,0.687,0.704,0.717,0.775
459.sql,1.724,1.607,1.442,1.494
460.sql,8.335,10.913,7.879,8.212
461.sql,2.271,2.403,2.362,2.401
462.sql,5.545,4.654,5.538,5.367
464.sql,0.331,0.418,0.501,0.366
465.sql,1.057,1.167,1.248,1.190
466.sql,0.371,0.384,0.373,0.366
468.sql,3.560,3.766,3.718,3.753
469.sql,0.117,0.113,0.113,0.113
470.sql,1.858,1.994,2.203,1.906
471.sql,0.076,0.074,0.071,0.072
472.sql,1.545,1.654,1.759,1.578
473.sql,0.108,0.095,0.069,0.073
474.sql,1.515,1.503,1.418,1.288
475.sql,0.136,0.166,0.144,0.151
476.sql,1.788,1.723,1.557,1.615
477.sql,2.593,3.139,2.231,2.992
479.sql,0.350,0.311,0.286,0.220
480.sql,0.158,0.124,0.124,0.127
481.sql,0.104,0.114,0.144,0.112
482.sql,3.109,3.401,3.013,3.000
483.sql,0.279,0.281,0.330,0.251
484.sql,0.195,0.229,0.155,0.188
485.sql,2.307,2.329,2.304,2.310
486.sql,0.416,0.399,0.398,0.493
487.sql,2.712,3.566,2.319,2.549
